order_id,customer_id,product_id,revenue
361,96,16,1282
362,54,9,1893
363,10,18,1489
364,42,9,1122
365,58,2,2567
366,89,3,2205
367,94,2,2199
368,77,9,525
369,83,20,1905
370,12,8,1703
371,37,17,2582
372,17,14,2698
373,31,17,2155
374,85,1,2498
375,58,11,1684
376,36,8,2167
377,42,4,823
378,82,12,852
379,3,12,2722
380,86,11,1929
381,94,3,1104
382,37,2,1779
383,47,12,1111
384,81,3,2376
385,28,11,2612
386,73,6,2076
387,29,4,1858
388,3,12,1586
389,100,4,1315
390,14,2,2831
391,42,14,955
392,37,18,1361
393,41,9,2950
394,19,7,1790
395,98,5,2711
396,39,7,933
397,64,13,2765
398,47,10,888
399,90,6,2041
400,3,16,1757
401,99,8,1624
402,29,12,988
403,79,3,714
404,76,1,1681
405,59,15,1007
406,43,12,1961
407,27,19,2364
408,22,13,2394
409,59,1,798
410,17,6,1752
411,93,16,2376
412,38,10,573
413,12,16,580
414,23,2,2470
415,7,6,1559
416,97,3,1980
417,15,20,2587
418,88,12,1125
419,76,18,919
420,36,6,515
421,64,14,1430
422,33,16,2503
423,92,11,1754
424,50,18,2366
425,1,18,880
426,23,15,1670
427,98,8,2189
428,71,18,1032
429,37,19,2844
430,19,1,2856
431,28,8,1762
432,29,4,2955
433,53,12,679
434,95,3,1817
435,51,9,1554
436,47,6,1820
437,8,19,2982
438,86,10,1848
439,17,3,1266
440,30,3,2884
441,12,20,2947
442,62,14,2355
443,15,6,1639
444,31,5,2312
445,9,12,2909
446,41,12,1962
447,49,13,1786
448,31,1,1012
449,24,19,1522
450,67,9,676
451,93,20,1769
452,65,11,2534
453,13,20,1476
454,18,12,2448
455,34,19,972
456,11,20,2057
457,29,9,500
458,76,1,2964
459,6,19,924
460,82,20,2631
461,6,11,1810
462,43,12,1867
463,87,10,2985
464,53,8,1301
465,58,7,2246
466,57,4,2058
467,79,19,2070
468,88,13,549
469,82,10,588
470,11,11,2029
471,73,2,1152
472,49,11,1305
473,20,7,2030
474,13,10,1783
475,26,5,1776
476,78,9,1826
477,17,19,951
478,5,11,2870
479,89,4,1552
480,28,15,880
481,51,12,1965
482,69,10,584
483,4,11,2129
484,59,3,1683
485,13,12,781
486,3,17,1757
487,77,14,1843
488,97,11,1448
489,97,4,559
490,62,12,2786
491,16,11,1029
492,75,3,1905
493,13,13,1931
494,19,11,856
495,31,19,571
496,60,9,1015
497,6,1,1163
498,17,14,989
499,96,19,1042
500,97,7,1392
